Designator,Mid X,Mid Y,Rotation,Layer
A1,115.6426,-95.4937,270.0,bottom
C1,96.0,-113.1,180.0,top
C10,117.975,-101.13,0.0,top
C2,184.45,-113.1,180.0,top
C3,183.75,-166.85,0.0,top
C4,95.5875,-166.85,0.0,top
C5,147.9625,-94.1,180.0,top
C6,110.1,-101.655,90.0,top
C7,113.025,-101.63,270.0,top
C8,128.05,-102.08,90.0,top
C9,130.05,-102.08,270.0,top
D1,164.86946,-127.369598,0.0,top
D10,107.36946,-127.369598,0.0,top
D11,107.36946,-146.369598,0.0,top
D12,107.36946,-165.369598,0.0,top
D13,96.0,-117.1,180.0,top
D14,184.0,-117.1,180.0,top
D15,184.0,-163.1,0.0,top
D16,95.55,-163.1,0.0,top
D17,117.225,-103.255,0.0,top
D2,164.86946,-146.369598,0.0,top
D3,164.36946,-165.369598,0.0,top
D4,145.81946,-127.369598,0.0,top
D5,145.86946,-146.369598,0.0,top
D6,145.86946,-165.369598,0.0,top
D7,126.61946,-127.369598,0.0,top
D8,126.61946,-146.369598,0.0,top
D9,126.76946,-165.369598,0.0,top
DS1,120.0,-98.1,0.0,top
J1,172.615,-76.02,180.0,top
J2,119.0,-75.55,90.0,top
R1,158.4,-89.075,0.0,top
R10,182.0625,-142.31,180.0,top
R2,175.775,-100.775,0.0,top
R3,175.875,-95.75,0.0,top
R4,126.05,-102.08,90.0,top
R5,123.675,-102.08,270.0,top
R6,121.675,-102.08,270.0,top
R7,118.0,-105.38,0.0,top
R8,182.0625,-136.29,180.0,top
R9,182.0625,-139.3,180.0,top
SW1,169.0176,-120.00869,180.0,top
SW10,111.8676,-120.00869,180.0,top
SW11,111.8676,-139.05869,180.0,top
SW12,111.8676,-158.10869,180.0,top
SW13,165.0,-98.1,180.0,top
SW2,169.0176,-139.05869,180.0,top
SW3,169.0176,-158.10869,180.0,top
SW4,149.9676,-120.00869,180.0,top
SW5,149.9676,-139.05869,180.0,top
SW6,149.9676,-158.10869,180.0,top
SW7,130.9176,-120.00869,180.0,top
SW8,130.9176,-139.05869,180.0,top
SW9,130.9176,-158.10869,180.0,top
U1,148.0,-90.1,180.0,top
